Date,Open,High,Low,Close,Volume
2016-03-31,2005.72,2007.43,1986.74,1995.85,335073000
2016-04-01,1994.77,1994.77,1970.17,1973.57,392258000
2016-04-04,1974.73,1979.03,1969.35,1978.97,363317000
2016-04-05,1972.38,1973.17,1959.26,1962.74,368164000
2016-04-06,1963.17,1975.09,1961.51,1971.32,358031000
2016-04-07,1978.75,1980.43,1964.99,1973.89,434061000
2016-04-08,1961.29,1972.12,1954.11,1972.05,400616000
2016-04-11,1972.25,1973.9,1963.21,1970.37,379537000
2016-04-12,1970.5,1981.73,1968.5,1981.32,387318000
2016-04-14,2004.15,2016.03,2000.83,2015.93,473519000
2016-04-15,2013.38,2016.95,2008.68,2014.71,317709000
2016-04-18,2001.35,2009.55,1998.49,2009.1,339248000
2016-04-19,2015.1,2020.29,2007.68,2011.36,401236000
2016-04-20,2017.05,2023.77,2005.82,2005.83,423964000
2016-04-21,2014.6,2022.1,2009.45,2022.1,392096000
2016-04-22,2014.93,2017.9,2010.94,2015.49,480470000
2016-04-25,2016.05,2016.65,2007.18,2014.55,397674000
2016-04-26,2013.26,2021.59,2011.85,2019.63,509281000
2016-04-27,2019.31,2019.86,2012.75,2015.4,412802000
2016-04-28,2020.83,2022.99,1998.6,2000.93,341142000
2016-04-29,1998.68,1999.34,1983.3,1994.15,401063000
2016-05-02,1991.84,1991.84,1977.03,1978.15,328194000
2016-05-03,1988.34,1989.41,1979.66,1986.41,310492000
2016-05-04,1978.24,1982.38,1969.22,1976.71,352695000
2016-05-09,1974.52,1976.14,1962.92,1967.81,342189000
2016-05-10,1965.86,1982.5,1964.9,1982.5,369085000
2016-05-11,1989.17,1989.17,1970.48,1980.1,398532000
2016-05-12,1973.28,1981.49,1970.54,1977.49,462882000
2016-05-13,1979.97,1980.45,1962.77,1966.99,509123000
2016-05-16,1961.91,1970.53,1961.32,1967.91,526717000
2016-05-17,1973.86,1975.1,1962.57,1968.06,597582000
2016-05-18,1962.78,1964.34,1945.56,1956.73,696273000
2016-05-19,1953.91,1954.29,1942.48,1946.78,505920000
2016-05-20,1943.84,1951.5,1940.36,1947.67,388051000
2016-05-23,1954.26,1956.77,1940.44,1955.25,399513000
2016-05-24,1951.18,1951.39,1937.67,1937.68,517076000
2016-05-25,1953.63,1964.91,1951.17,1960.51,656874000
2016-05-26,1965.81,1967.45,1955.97,1957.06,558263000
2016-05-27,1962.33,1971.27,1959.75,1969.17,523531000
2016-05-30,1969.72,1970.54,1955.49,1967.13,550502000
2016-05-31,1962.47,1984.18,1958.16,1983.4,657045000
2016-06-01,1976.87,1986.76,1975.82,1982.72,502290000
2016-06-02,1983.86,1988.0,1978.82,1985.11,474228000
2016-06-03,1991.58,1991.58,1979.66,1985.84,540858000
2016-06-07,1993.08,2011.67,1992.77,2011.63,481348000
2016-06-08,2013.72,2027.09,2008.59,2027.08,497934000
2016-06-09,2028.02,2035.27,2012.14,2024.17,599680000
2016-06-10,2022.77,2022.77,2014.15,2017.63,404303000
2016-06-13,2001.03,2001.79,1976.69,1979.06,443001000
2016-06-14,1976.8,1982.32,1965.34,1972.03,439936000
2016-06-15,1972.0,1975.87,1960.97,1968.83,376769000
2016-06-16,1971.53,1974.01,1944.8,1951.99,438794000
2016-06-17,1966.23,1970.54,1949.6,1953.4,485269000
2016-06-20,1974.43,1984.07,1969.56,1981.12,391345000
2016-06-21,1977.8,1983.87,1971.99,1982.7,557437000
2016-06-22,1981.78,1994.76,1979.37,1992.58,407434000
2016-06-23,1989.42,1990.71,1980.14,1986.71,455389000
2016-06-24,2001.55,2001.55,1892.75,1925.24,750546000
2016-06-27,1901.85,1926.87,1900.83,1926.85,394266000
2016-06-28,1907.71,1937.99,1907.49,1936.22,373459000
2016-06-29,1946.31,1966.21,1941.9,1956.36,451186000
2016-06-30,1971.54,1972.81,1959.28,1970.35,349862000
2016-07-01,1977.36,1993.98,1975.89,1987.32,448128000
2016-07-04,1989.44,1997.37,1985.11,1995.3,468611000
2016-07-05,1995.69,1996.77,1985.94,1989.85,405487000
2016-07-06,1980.11,1982.8,1944.33,1953.12,457438000
2016-07-07,1963.3,1976.49,1959.83,1974.08,378755000
2016-07-08,1972.28,1979.75,1956.91,1963.1,356526000
2016-07-11,1979.36,1990.95,1977.81,1988.54,337763000
2016-07-12,1991.13,1998.03,1986.45,1991.23,432650000
2016-07-13,2007.65,2013.6,1995.84,2005.55,357643000
2016-07-14,2004.12,2009.67,1997.94,2008.77,340227000
2016-07-15,2015.37,2022.34,2011.1,2017.26,477808000
2016-07-18,2018.22,2022.11,2012.3,2021.11,380091000
2016-07-19,2022.8,2023.22,2010.27,2016.89,380797000
2016-07-20,2013.4,2015.47,2003.87,2015.46,316335000
2016-07-21,2019.36,2020.55,2007.59,2012.22,391049000
2016-07-22,2005.37,2014.44,2002.66,2010.34,320954000
2016-07-25,2014.74,2020.69,2006.63,2012.32,350230000
2016-07-26,2009.4,2027.34,2008.25,2027.34,338607000
2016-07-27,2027.07,2030.69,2021.15,2025.05,411661000
2016-07-28,2029.07,2029.38,2014.36,2021.1,350881000
2016-07-29,2023.24,2028.99,2016.19,2016.19,366385000
2016-08-01,2024.71,2031.58,2024.57,2029.61,369588000
2016-08-02,2023.55,2026.1,2017.59,2019.03,409940000
